control1	control2	control3	moon1	moon2	moon3
4.126532	8.167337	7.446107	4.101303	3.562675	4.918359
1	1	1	1	1	1
4.22589005071622	4.02713246341463	3.6732756867983	3.82897213472706	3.10482746651181	3.49325806000774
3.954593	2.773383	4.383463	4.45488	4.61723	4.484268
5.268502	5.587311	4.442942	5.829209	5.084392	5.815992
10.427018	10.364716106981	9.319099	8.39437	7.677128	8.572855
1	1	1	1	1	1
7.767184	7.868678	9.519058	9.125128	6.041932	7.253433
384.20105	308.858063	252.268066	374.141479	290.659943	346.340393
1	1	1.017932	1	1	1
1.360871	1.870425	2.23972	1.484775	1.089051	1.525961
23.405022	6.814707	8.514566	18.852859	7.173397	11.921684
1	1	1.16174	1.182368	1	1.159434
20.303734	22.898682	18.353758	18.24128	18.51709	23.727764
1.482639	1.343006	2.02601	1.551575	1.132129	1
1	1	1	1	1	1
59.5116651000986	78.977553102071	52.4729312988166	44.3639567628205	65.5418781356016	68.7564002884615
66.7780830874317	56.2443075728597	57.1468616370674	84.5810692969035	44.9734086161202	61.5025416316029
19.2980027007111	23.4099053303167	18.8243664143504	29.547166689722	16.2895106826115	20.3136629088559
21.193972	20.099064	14.157945	19.103832	17.234056	20.574154
13.9040626170426	14.2344148912281	14.5005968867168	14.729075993985	13.0264102195489	17.1005909458647
16.588510308292	29.7344930439405	18.5891938348689	26.2586709744862	15.6889168979447	18.381853
28.763346	30.191948	25.419827	35.881535	31.661358	48.312923
13.3902579452214	17.2640970815851	19.796724462704	13.0705502505827	12.2371878554779	13.30144704662
